width,height,area,success,coverage,stepsUsed,ratio
1,157,157,true,157,339,2.159235668789809
157,1,157,true,157,307,1.9554140127388535
1,158,158,true,158,340,2.151898734177215
158,1,158,true,158,308,1.9493670886075949
1,159,159,true,159,341,2.1446540880503147
159,1,159,true,159,309,1.9433962264150944
1,160,160,true,160,342,2.1375
160,1,160,true,160,310,1.9375
1,161,161,true,161,343,2.130434782608696
161,1,161,true,161,311,1.9316770186335404
1,162,162,true,162,344,2.123456790123457
162,1,162,true,162,312,1.9259259259259258
1,163,163,true,163,345,2.1165644171779143
163,1,163,true,163,313,1.9202453987730062
1,164,164,true,164,346,2.1097560975609757
164,1,164,true,164,314,1.9146341463414633
1,165,165,true,165,347,2.103030303030303
165,1,165,true,165,315,1.9090909090909092
1,166,166,true,166,348,2.0963855421686746
166,1,166,true,166,316,1.9036144578313252
1,167,167,true,167,349,2.089820359281437
167,1,167,true,167,317,1.8982035928143712
1,168,168,true,168,350,2.0833333333333335
168,1,168,true,168,318,1.8928571428571428
1,169,169,true,169,351,2.076923076923077
169,1,169,true,169,319,1.8875739644970415
1,170,170,true,170,352,2.070588235294118
170,1,170,true,170,320,1.8823529411764706
1,171,171,true,171,353,2.064327485380117
171,1,171,true,171,321,1.8771929824561404
1,172,172,true,172,354,2.058139534883721
172,1,172,true,172,322,1.872093023255814
1,173,173,true,173,355,2.052023121387283
173,1,173,true,173,323,1.8670520231213872
1,174,174,true,174,356,2.045977011494253
174,1,174,true,174,324,1.8620689655172413
1,175,175,true,175,357,2.04
175,1,175,true,175,325,1.8571428571428572
1,176,176,true,176,358,2.034090909090909
176,1,176,true,176,326,1.8522727272727273
1,177,177,true,177,359,2.0282485875706215
177,1,177,true,177,327,1.847457627118644
1,178,178,true,178,360,2.0224719101123596
178,1,178,true,178,328,1.8426966292134832
1,179,179,true,179,361,2.016759776536313
179,1,179,true,179,329,1.8379888268156424
1,180,180,true,180,362,2.011111111111111
180,1,180,true,180,330,1.8333333333333333
1,181,181,true,181,363,2.005524861878453
181,1,181,true,181,331,1.828729281767956
1,182,182,true,182,364,2.0
182,1,182,true,182,332,1.8241758241758241
1,183,183,true,183,365,1.994535519125683
183,1,183,true,183,333,1.819672131147541
1,184,184,true,184,366,1.9891304347826086
184,1,184,true,184,335,1.8206521739130435
1,185,185,true,185,404,2.1837837837837837
185,1,185,true,185,367,1.9837837837837837
1,186,186,true,186,406,2.182795698924731
186,1,186,true,186,368,1.978494623655914
1,187,187,true,187,407,2.176470588235294
187,1,187,true,187,369,1.9732620320855614
1,188,188,true,188,408,2.1702127659574466
188,1,188,true,188,370,1.9680851063829787
1,189,189,true,189,409,2.164021164021164
189,1,189,true,189,371,1.962962962962963
1,190,190,true,190,410,2.1578947368421053
190,1,190,true,190,372,1.9578947368421054
1,191,191,true,191,411,2.1518324607329844
191,1,191,true,191,373,1.9528795811518325
1,192,192,true,192,412,2.1458333333333335
192,1,192,true,192,374,1.9479166666666667
1,193,193,true,193,413,2.139896373056995
193,1,193,true,193,375,1.9430051813471503
1,194,194,true,194,414,2.134020618556701
194,1,194,true,194,376,1.9381443298969072
1,195,195,true,195,415,2.128205128205128
195,1,195,true,195,377,1.9333333333333333
1,196,196,true,196,416,2.122448979591837
196,1,196,true,196,378,1.9285714285714286
1,197,197,true,197,417,2.116751269035533
197,1,197,true,197,379,1.9238578680203047
1,198,198,true,198,418,2.111111111111111
198,1,198,true,198,380,1.9191919191919191
1,199,199,true,199,419,2.1055276381909547
199,1,199,true,199,381,1.914572864321608
1,200,200,true,200,420,2.1
200,1,200,true,200,382,1.91
1,201,201,true,201,421,2.0945273631840795
201,1,201,true,201,383,1.9054726368159205
1,202,202,true,202,422,2.089108910891089
202,1,202,true,202,384,1.900990099009901
1,203,203,true,203,423,2.083743842364532
