width,height,area,success,coverage,stepsUsed,ratio
1,212,212,true,212,3096,14.60377358490566
212,1,212,true,212,228,1.0754716981132075
1,213,213,true,213,3099,14.549295774647888
213,1,213,true,213,229,1.0751173708920188
1,214,214,true,214,3103,14.5
214,1,214,true,214,231,1.0794392523364487
1,215,215,true,215,3109,14.46046511627907
215,1,215,true,215,232,1.0790697674418606
1,216,216,true,216,3117,14.430555555555555
216,1,216,true,216,233,1.0787037037037037
1,217,217,true,217,3129,14.419354838709678
217,1,217,true,217,234,1.0783410138248848
1,218,218,true,218,3143,14.417431192660551
218,1,218,true,218,235,1.0779816513761469
1,219,219,true,219,3149,14.378995433789955
219,1,219,true,219,237,1.082191780821918
1,220,220,true,220,3167,14.395454545454545
220,1,220,true,220,238,1.0818181818181818
1,221,221,true,221,3187,14.42081447963801
221,1,221,true,221,239,1.081447963800905
1,222,222,true,222,3211,14.463963963963964
222,1,222,true,222,240,1.0810810810810811
1,223,223,true,223,3215,14.417040358744394
223,1,223,true,223,241,1.0807174887892377
1,224,224,true,224,3245,14.486607142857142
224,1,224,true,224,242,1.0803571428571428
1,225,225,true,225,3277,14.564444444444444
225,1,225,true,225,243,1.08
1,226,226,true,226,3315,14.668141592920353
226,1,226,true,226,245,1.084070796460177
1,227,227,true,227,3317,14.612334801762115
227,1,227,true,227,246,1.0837004405286343
1,228,228,true,228,3320,14.56140350877193
228,1,228,true,228,247,1.0833333333333333
1,229,229,true,229,3324,14.51528384279476
229,1,229,true,229,248,1.0829694323144106
1,230,230,true,230,3330,14.478260869565217
230,1,230,true,230,249,1.0826086956521739
1,231,231,true,231,3338,14.45021645021645
231,1,231,true,231,250,1.0822510822510822
1,232,232,true,232,3350,14.439655172413794
232,1,232,true,232,251,1.081896551724138
1,233,233,true,233,3364,14.437768240343347
233,1,233,true,233,252,1.0815450643776825
1,234,234,true,234,3370,14.401709401709402
234,1,234,true,234,253,1.0811965811965811
1,235,235,true,235,3388,14.417021276595746
235,1,235,true,235,254,1.0808510638297872
1,236,236,true,236,3408,14.440677966101696
236,1,236,true,236,255,1.0805084745762712
1,237,237,true,237,3432,14.481012658227849
237,1,237,true,237,257,1.0843881856540085
1,238,238,true,238,3436,14.436974789915967
238,1,238,true,238,258,1.084033613445378
1,239,239,true,239,3466,14.502092050209205
239,1,239,true,239,259,1.0836820083682008
1,240,240,true,240,3498,14.575
240,1,240,true,240,260,1.0833333333333333
1,241,241,true,241,3536,14.67219917012448
241,1,241,true,241,261,1.0829875518672198
1,242,242,true,242,3538,14.619834710743802
242,1,242,true,242,262,1.0826446280991735
1,243,243,true,243,3541,14.572016460905349
243,1,243,true,243,263,1.0823045267489713
1,244,244,true,244,3545,14.528688524590164
244,1,244,true,244,264,1.0819672131147542
1,245,245,true,245,3551,14.493877551020407
245,1,245,true,245,265,1.0816326530612246
1,246,246,true,246,3559,14.467479674796747
246,1,246,true,246,266,1.08130081300813
1,247,247,true,247,3571,14.45748987854251
247,1,247,true,247,267,1.0809716599190284
